,County Name,hispanic,his_total,black,black_total,white,white_total,asian,asian_total,State
27719,Weakley,730,0.020842850616719963,2754,0.07863179534033805,31333,0.8946151210598446,364,0.010392873458200091,TN
27730,White,451,0.01744883352033118,480,0.01857082059813518,24892,0.9630518048516269,78,0.0030177583471969666,TN
27741,Williamson,8285,0.04501861059037683,8103,0.044029668269622624,167352,0.9093487651805363,5625,0.030564838210123076,TN
27752,Wilson,3753,0.032766704209120194,7415,0.06473890533190148,103616,0.904650898836184,1322,0.011542121759780682,TN
27763,Anderson,9346,0.15989187709573668,12616,0.21583521521932525,44247,0.7569800862245946,408,0.006980086224594539,TX
27774,Andrews,7244,0.48837052518034113,236,0.01591046989819996,14162,0.9547630283826603,100,0.006741724533135576,TX
27785,Angelina,17285,0.198785550814808,13436,0.15452025807045186,71089,0.8175566110427472,866,0.009959403355835911,TX
27796,Aransas,5731,0.2475487019999136,335,0.01447021726923243,21776,0.9406073171785236,453,0.019567189322275497,TX
27807,Archer,686,0.07571743929359824,73,0.008057395143487859,8800,0.9713024282560706,21,0.002317880794701987,TX
27818,Armstrong,145,0.07623554153522608,40,0.02103049421661409,1828,0.961093585699264,0,0.0,TX
27829,Atascosa,27861,0.619092060529298,413,0.00917716596671333,43449,0.9654689687354177,238,0.005288536319800902,TX
27840,Austin,6694,0.2353478887599761,2748,0.09661428119396688,25013,0.8794079386843863,139,0.004886966916288718,TX
27851,Bailey,4254,0.5924791086350975,122,0.016991643454038998,6791,0.9458217270194986,38,0.0052924791086350976,TX
27862,Bandera,3449,0.16805535253130635,128,0.006236904935925547,19936,0.9713979437704039,69,0.003362081567022365,TX
27873,Bastrop,24359,0.32739271265943576,6036,0.08112576105802186,64955,0.873015873015873,611,0.008212034460976035,TX
27884,Baylor,461,0.12375838926174497,94,0.02523489932885906,3546,0.9519463087248322,10,0.0026845637583892616,TX
27895,Bee,17952,0.5629880515570609,2629,0.08244739235425094,28532,0.8947847085018973,186,0.005833098127763665,TX
27906,Bell,67981,0.21719169329073482,70133,0.2240670926517572,214823,0.6863354632587859,9410,0.030063897763578276,TX
27917,Bexar,1015299,0.5889956955063871,136682,0.07929202102356449,1483618,0.8606771165693998,44953,0.026078153824734013,TX
