,state,county,candidate,party,votes,won,total_votes,percent,State
329,Illinois,Kankakee County,Donald Trump,REP,28410,True,49729,0.5712964266323474,IL
330,Illinois,Kendall County,Donald Trump,REP,28515,False,61327,0.4649664911050598,IL
331,Illinois,Knox County,Donald Trump,REP,11818,True,22716,0.5202500440218348,IL
332,Illinois,Lake County,Donald Trump,REP,123594,False,334156,0.3698691629059481,IL
333,Illinois,LaSalle County,Donald Trump,REP,29482,True,52053,0.5663842621943019,IL
334,Illinois,Lawrence County,Donald Trump,REP,4849,True,6379,0.7601504938078069,IL
335,Illinois,Lee County,Donald Trump,REP,9584,True,16351,0.5861415203963061,IL
336,Illinois,Livingston County,Donald Trump,REP,12134,True,17049,0.7117132969675641,IL
337,Illinois,Logan County,Donald Trump,REP,9042,True,13117,0.6893344514751849,IL
338,Illinois,McDonough County,Donald Trump,REP,7009,True,12290,0.5703010577705452,IL
339,Illinois,McHenry County,Donald Trump,REP,81479,True,162766,0.5005898037673716,IL
340,Illinois,McLean County,Donald Trump,REP,40365,False,87013,0.4638961994184777,IL
341,Illinois,Macon County,Donald Trump,REP,28373,True,48934,0.5798218007929047,IL
342,Illinois,Macoupin County,Donald Trump,REP,16058,True,23919,0.6713491366695932,IL
343,Illinois,Madison County,Donald Trump,REP,75272,True,135686,0.554751411346786,IL
344,Illinois,Marion County,Donald Trump,REP,12540,True,17214,0.7284768211920529,IL
345,Illinois,Marshall County,Donald Trump,REP,4196,True,6343,0.6615166325082769,IL
346,Illinois,Mason County,Donald Trump,REP,4645,True,6756,0.6875370041444642,IL
347,Illinois,Massac County,Donald Trump,REP,4989,True,6803,0.7333529325297663,IL
348,Illinois,Menard County,Donald Trump,REP,4764,True,6954,0.6850733390854185,IL
349,Illinois,Mercer County,Donald Trump,REP,5328,True,8750,0.6089142857142857,IL
350,Illinois,Monroe County,Donald Trump,REP,14046,True,21024,0.668093607305936,IL
351,Illinois,Montgomery County,Donald Trump,REP,9504,True,13701,0.6936719947449091,IL
352,Illinois,Morgan County,Donald Trump,REP,9903,True,15229,0.6502725064022589,IL
353,Illinois,Moultrie County,Donald Trump,REP,4938,True,6698,0.7372349955210511,IL
354,Illinois,Ogle County,Donald Trump,REP,16092,True,26040,0.6179723502304147,IL
355,Illinois,Peoria County,Donald Trump,REP,37612,False,82264,0.4572109306622581,IL
356,Illinois,Perry County,Donald Trump,REP,7305,True,10060,0.7261431411530815,IL
357,Illinois,Piatt County,Donald Trump,REP,6219,True,9791,0.6351751608620161,IL
358,Illinois,Pike County,Donald Trump,REP,6235,True,7836,0.7956865747830526,IL
359,Illinois,Pope County,Donald Trump,REP,1720,True,2172,0.7918968692449355,IL
360,Illinois,Pulaski County,Donald Trump,REP,1699,True,2631,0.6457620676548841,IL
361,Illinois,Putnam County,Donald Trump,REP,1978,True,3345,0.5913303437967115,IL
362,Illinois,Randolph County,Donald Trump,REP,11065,True,14896,0.7428168635875403,IL
363,Illinois,Richland County,Donald Trump,REP,7988,True,9343,0.8549716365193193,IL
364,Illinois,Rock Island County,Donald Trump,REP,28585,False,66750,0.42823970037453185,IL
365,Illinois,St. Clair County,Donald Trump,REP,56000,False,125220,0.44721290528669544,IL
366,Illinois,Saline County,Donald Trump,REP,8096,True,11079,0.7307518729127177,IL
