,County Name,State,month0.0_x,month1.0_x,month2.0_x,month3.0_x,month4.0_x,month5.0_x,month6.0_x,month7.0_x,month8.0_x,month9.0_x,month0.0_y,month1.0_y,month2.0_y,month3.0_y,month4.0_y,month5.0_y,month6.0_y,month7.0_y,month8.0_y,month9.0_y,population
45,Madison County,AL,0,0,123,234,343,1129,4911,6473,8005,9619,0,0,1,4,4,8,30,57,78,98,372909
46,Marengo County,AL,0,0,8,58,172,301,512,639,728,1053,0,0,0,3,6,11,14,18,19,22,18863
47,Marion County,AL,0,0,16,83,123,210,558,791,976,1118,0,0,1,6,11,13,24,28,29,31,29709
48,Marshall County,AL,0,0,17,342,705,1631,2927,3622,3983,4500,0,0,0,7,9,10,31,42,45,51,96774
49,Mobile County,AL,0,0,103,1198,2279,3823,8522,12259,13558,17166,0,0,4,62,118,138,194,261,295,319,413210
50,Monroe County,AL,0,0,5,13,44,206,434,545,592,663,0,0,0,1,2,2,4,7,8,10,20733
51,Montgomery County,AL,0,0,61,409,1790,3925,6189,7992,8894,10576,0,0,1,7,43,104,144,163,185,205,226486
52,Morgan County,AL,0,0,24,74,296,1032,2189,2910,3349,4428,0,0,0,0,1,3,15,24,29,35,119679
53,Perry County,AL,0,0,0,15,42,154,442,517,543,602,0,0,0,0,0,1,3,5,6,6,8923
54,Pickens County,AL,0,0,11,55,120,218,366,563,672,900,0,0,0,2,5,6,10,11,15,18,19930
55,Pike County,AL,0,0,10,75,208,415,658,963,1220,1370,0,0,0,0,0,5,7,8,11,14,33114
56,Randolph County,AL,0,0,10,77,128,190,396,519,672,853,0,0,0,4,7,9,11,12,13,16,22722
57,Russell County,AL,0,0,4,61,176,509,1212,1627,1790,1999,0,0,0,0,0,0,1,2,3,3,57961
58,St. Clair County,AL,0,0,23,76,131,329,1248,1844,2379,3138,0,0,0,0,1,2,11,29,37,43,89512
59,Shelby County,AL,0,0,115,327,522,1128,3109,4561,6164,7660,0,0,3,13,19,23,32,47,50,67,217702
60,Sumter County,AL,0,0,6,77,226,280,364,403,434,487,0,0,0,3,7,12,18,19,19,21,12427
61,Talladega County,AL,0,0,12,64,117,290,1005,1764,2190,2777,0,0,0,2,5,8,14,20,30,37,79978
62,Tallapoosa County,AL,0,0,20,295,431,579,848,1053,1173,1385,0,0,1,18,66,70,79,82,85,87,40367
63,Tuscaloosa County,AL,0,0,41,218,814,2129,3927,5877,9029,10641,0,0,0,2,16,41,63,100,118,142,209355
64,Walker County,AL,0,0,49,99,374,884,1475,1914,2369,2902,0,0,0,0,2,23,66,76,87,93,63521
65,Washington County,AL,0,0,5,38,72,105,309,522,560,759,0,0,1,2,6,7,11,13,12,12,16326
66,Wilcox County,AL,0,0,6,72,152,287,412,514,532,572,0,0,0,3,7,8,9,11,11,12,10373
67,Winston County,AL,0,0,3,16,91,239,438,576,751,953,0,0,0,0,0,3,10,11,12,13,23629
68,Statewide Unallocated,AK,0,0,0,1,1,10,1,1,1,6,0,0,1,0,0,2,0,0,0,0,0
69,Aleutians East Borough,AK,0,0,0,0,0,0,1,2,3,6,0,0,0,0,0,0,0,0,0,0,3337
