Areaname,LND110210D
"Oneida, WI",1112.97
"Outagamie, WI",637.52
"Ozaukee, WI",233.08
"Pepin, WI",231.98
"Pierce, WI",573.75
"Polk, WI",913.96
"Portage, WI",800.68
"Price, WI",1254.38
"Racine, WI",332.5
"Richland, WI",586.15
"Rock, WI",718.14
"Rusk, WI",913.59
"St. Croix, WI",722.33
"Sauk, WI",830.9
"Sawyer, WI",1257.31
"Shawano, WI",893.06
"Sheboygan, WI",511.27
"Taylor, WI",974.88
"Trempealeau, WI",732.97
"Vernon, WI",791.58
"Vilas, WI",856.6
"Walworth, WI",555.13
"Washburn, WI",797.11
"Washington, WI",430.7
"Waukesha, WI",549.57
"Waupaca, WI",747.71
"Waushara, WI",626.15
"Winnebago, WI",434.49
"Wood, WI",793.12
WYOMING,97093.14
"Albany, WY",4273.84
"Big Horn, WY",3137.1
"Campbell, WY",4802.71
"Carbon, WY",7897.58
"Converse, WY",4254.88
"Crook, WY",2854.41
"Fremont, WY",9183.81
"Goshen, WY",2225.39
"Hot Springs, WY",2004.09
"Johnson, WY",4154.15
"Laramie, WY",2685.91
"Lincoln, WY",4076.13
"Natrona, WY",5340.35
"Niobrara, WY",2626.04
"Park, WY",6942.08
"Platte, WY",2084.21
"Sheridan, WY",2523.99
"Sublette, WY",4886.54
"Sweetwater, WY",10426.65
"Teton, WY",3995.38
"Uinta, WY",2081.26
"Washakie, WY",2238.55
"Weston, WY",2398.09
