Areaname,LND110210D
"Heard, GA",296.03
"Henry, GA",322.13
"Houston, GA",375.54
"Irwin, GA",354.34
"Jackson, GA",339.66
"Jasper, GA",368.17
"Jeff Davis, GA",330.74
"Jefferson, GA",526.49
"Jenkins, GA",347.28
"Johnson, GA",303.01
"Jones, GA",393.93
"Lamar, GA",183.5
"Lanier, GA",185.26
"Laurens, GA",807.3
"Lee, GA",355.78
"Liberty, GA",489.8
"Lincoln, GA",210.38
"Long, GA",400.29
"Lowndes, GA",496.07
"Lumpkin, GA",282.93
"McDuffie, GA",257.46
"McIntosh, GA",424.3
"Macon, GA",400.64
"Madison, GA",282.31
"Marion, GA",366
"Meriwether, GA",501.22
"Miller, GA",282.42
"Mitchell, GA",512.09
"Monroe, GA",395.66
"Montgomery, GA",239.52
"Morgan, GA",347.35
"Murray, GA",344.47
"Muscogee, GA",216.39
"Newton, GA",272.16
"Oconee, GA",184.29
"Oglethorpe, GA",439.01
"Paulding, GA",312.22
"Peach, GA",150.27
"Pickens, GA",232.06
"Pierce, GA",316.49
"Pike, GA",216.09
"Polk, GA",310.33
"Pulaski, GA",249.03
"Putnam, GA",344.64
"Quitman, GA",151.24
"Rabun, GA",369.99
"Randolph, GA",428.24
"Richmond, GA",324.33
"Rockdale, GA",129.79
"Schley, GA",166.91
"Screven, GA",645.1
"Seminole, GA",235.23
"Spalding, GA",196.47
"Stephens, GA",179.13
"Stewart, GA",458.73
"Sumter, GA",482.7
"Talbot, GA",391.39
"Taliaferro, GA",194.61
"Tattnall, GA",479.4
"Taylor, GA",376.69
"Telfair, GA",437.3
"Terrell, GA",335.44
"Thomas, GA",544.6
"Tift, GA",258.92
"Toombs, GA",364.01
"Towns, GA",166.56
"Treutlen, GA",199.44
"Troup, GA",413.99
"Turner, GA",285.39
"Twiggs, GA",358.4
"Union, GA",321.93
"Upson, GA",323.44
"Walker, GA",446.38
"Walton, GA",325.68
"Ware, GA",892.46
"Warren, GA",284.3
"Washington, GA",678.45
"Wayne, GA",641.78
"Webster, GA",209.12
"Wheeler, GA",295.48
"White, GA",240.69
"Whitfield, GA",290.46
"Wilcox, GA",377.71
"Wilkes, GA",469.49
"Wilkinson, GA",447.31
"Worth, GA",570.7
HAWAII,6422.63
"Hawaii, HI",4028.42
"Honolulu, HI",600.74
"Kalawao, HI",11.99
"Kauai, HI",619.96
"Maui, HI",1161.52
IDAHO,82643.12
"Ada, ID",1052.58
"Adams, ID",1363.06
"Bannock, ID",1111.99
"Bear Lake, ID",974.79
"Benewah, ID",776.62
"Bingham, ID",2093.98
"Blaine, ID",2643.59
"Boise, ID",1899.24
"Bonner, ID",1734.57
"Bonneville, ID",1866.08
"Boundary, ID",1268.56
"Butte, ID",2231.67
"Camas, ID",1074.49
"Canyon, ID",587.37
"Caribou, ID",1764.15
"Cassia, ID",2565.08
"Clark, ID",1764.19
"Clearwater, ID",2457.27
"Custer, ID",4920.94
"Elmore, ID",3074.74
"Franklin, ID",663.65
"Fremont, ID",1863.53
"Gem, ID",560.9
"Gooding, ID",728.97
"Idaho, ID",8477.35
"Jefferson, ID",1093.5
"Jerome, ID",597.19
"Kootenai, ID",1244.13
"Latah, ID",1076
"Lemhi, ID",4563.39
"Lewis, ID",478.8
"Lincoln, ID",1201.41
"Madison, ID",469.21
"Minidoka, ID",757.59
"Nez Perce, ID",848.09
"Oneida, ID",1200.06
"Owyhee, ID",7665.51
"Payette, ID",406.87
"Power, ID",1404.24
"Shoshone, ID",2629.67
"Teton, ID",449.46
"Twin Falls, ID",1921.21
"Valley, ID",3664.52
"Washington, ID",1452.98
ILLINOIS,55518.93
